ID,values,section,Behavior
4,4.57,INFOQUAL,explicit
5,4.43,INFOQUAL,explicit
6,3.14,INFOQUAL,explicit
7,3.71,INFOQUAL,explicit
8,4.14,INFOQUAL,explicit
9,3.29,INFOQUAL,explicit
10,4.14,INFOQUAL,explicit
11,3.57,INFOQUAL,explicit
12,4.71,INFOQUAL,explicit
13,4.71,INFOQUAL,explicit
14,4.43,INFOQUAL,explicit
15,4.57,INFOQUAL,explicit
16,4.86,INFOQUAL,explicit
17,3.71,INFOQUAL,explicit
18,5.0,INFOQUAL,explicit
19,5.0,INFOQUAL,explicit
20,3.86,INFOQUAL,explicit
21,4.14,INFOQUAL,explicit
22,4.43,INFOQUAL,explicit
23,5.0,INFOQUAL,explicit
24,3.86,INFOQUAL,explicit
25,3.43,INFOQUAL,explicit
26,5.0,INFOQUAL,explicit
27,3.0,INFOQUAL,explicit
28,3.43,INFOQUAL,explicit
29,3.43,INFOQUAL,explicit
30,3.14,INFOQUAL,explicit
31,4.86,INFOQUAL,explicit
32,2.86,INFOQUAL,explicit
33,4.57,INFOQUAL,explicit
34,4.29,INFOQUAL,explicit
35,4.29,INFOQUAL,explicit
36,4.0,INFOQUAL,explicit
37,5.0,INFOQUAL,explicit
38,3.57,INFOQUAL,explicit
39,4.86,INFOQUAL,explicit
40,4.0,INFOQUAL,explicit
41,4.86,INFOQUAL,explicit
42,4.43,INFOQUAL,explicit
43,4.43,INFOQUAL,explicit
44,3.57,INFOQUAL,explicit
45,4.57,INFOQUAL,explicit
46,4.71,INFOQUAL,explicit
47,4.43,INFOQUAL,explicit
48,5.0,INFOQUAL,explicit
49,3.43,INFOQUAL,explicit
50,4.29,INFOQUAL,explicit
51,4.14,INFOQUAL,explicit
52,4.43,INFOQUAL,explicit
53,4.86,INFOQUAL,explicit
54,4.29,INFOQUAL,explicit
55,3.86,INFOQUAL,explicit
56,3.43,INFOQUAL,explicit
57,4.86,INFOQUAL,explicit
58,4.29,INFOQUAL,explicit
59,3.14,INFOQUAL,explicit
60,4.86,INFOQUAL,explicit
61,4.86,INFOQUAL,explicit
0,4.71,INFOQUAL,implicit
1,4.57,INFOQUAL,implicit
2,4.0,INFOQUAL,implicit
3,4.43,INFOQUAL,implicit
4,4.43,INFOQUAL,implicit
5,4.43,INFOQUAL,implicit
6,2.71,INFOQUAL,implicit
7,4.57,INFOQUAL,implicit
8,4.0,INFOQUAL,implicit
9,3.57,INFOQUAL,implicit
10,4.29,INFOQUAL,implicit
11,3.86,INFOQUAL,implicit
12,5.0,INFOQUAL,implicit
13,4.71,INFOQUAL,implicit
14,4.0,INFOQUAL,implicit
15,4.71,INFOQUAL,implicit
16,4.86,INFOQUAL,implicit
17,3.57,INFOQUAL,implicit
18,4.86,INFOQUAL,implicit
19,4.29,INFOQUAL,implicit
20,3.29,INFOQUAL,implicit
21,4.29,INFOQUAL,implicit
22,4.86,INFOQUAL,implicit
23,4.86,INFOQUAL,implicit
24,3.86,INFOQUAL,implicit
25,3.29,INFOQUAL,implicit
26,5.0,INFOQUAL,implicit
27,3.43,INFOQUAL,implicit
28,3.14,INFOQUAL,implicit
29,3.29,INFOQUAL,implicit
30,3.43,INFOQUAL,implicit
31,4.29,INFOQUAL,implicit
32,3.43,INFOQUAL,implicit
33,5.0,INFOQUAL,implicit
34,4.43,INFOQUAL,implicit
35,3.86,INFOQUAL,implicit
36,4.0,INFOQUAL,implicit
37,5.0,INFOQUAL,implicit
38,3.57,INFOQUAL,implicit
39,5.0,INFOQUAL,implicit
40,4.29,INFOQUAL,implicit
41,4.43,INFOQUAL,implicit
42,4.43,INFOQUAL,implicit
43,4.57,INFOQUAL,implicit
44,4.57,INFOQUAL,implicit
45,4.43,INFOQUAL,implicit
46,5.0,INFOQUAL,implicit
47,4.71,INFOQUAL,implicit
48,5.0,INFOQUAL,implicit
49,3.29,INFOQUAL,implicit
50,4.43,INFOQUAL,implicit
51,3.29,INFOQUAL,implicit
52,3.86,INFOQUAL,implicit
53,4.43,INFOQUAL,implicit
54,2.86,INFOQUAL,implicit
55,4.29,INFOQUAL,implicit
56,3.71,INFOQUAL,implicit
57,4.43,INFOQUAL,implicit
58,4.71,INFOQUAL,implicit
59,2.43,INFOQUAL,implicit
60,5.0,INFOQUAL,implicit
61,4.43,INFOQUAL,implicit
0,4.33,INTERQUAL,explicit
1,4.0,INTERQUAL,explicit
2,3.67,INTERQUAL,explicit
3,3.33,INTERQUAL,explicit
4,4.0,INTERQUAL,explicit
5,5.0,INTERQUAL,explicit
6,3.67,INTERQUAL,explicit
7,2.67,INTERQUAL,explicit
8,4.33,INTERQUAL,explicit
9,3.0,INTERQUAL,explicit
10,3.33,INTERQUAL,explicit
11,5.0,INTERQUAL,explicit
12,5.0,INTERQUAL,explicit
13,5.0,INTERQUAL,explicit
14,5.0,INTERQUAL,explicit
15,4.0,INTERQUAL,explicit
16,5.0,INTERQUAL,explicit
17,3.67,INTERQUAL,explicit
18,4.33,INTERQUAL,explicit
19,5.0,INTERQUAL,explicit
20,3.67,INTERQUAL,explicit
21,3.33,INTERQUAL,explicit
22,4.33,INTERQUAL,explicit
23,5.0,INTERQUAL,explicit
24,3.67,INTERQUAL,explicit
25,3.0,INTERQUAL,explicit
26,4.67,INTERQUAL,explicit
27,2.0,INTERQUAL,explicit
28,3.0,INTERQUAL,explicit
29,3.0,INTERQUAL,explicit
30,2.33,INTERQUAL,explicit
31,5.0,INTERQUAL,explicit
32,4.33,INTERQUAL,explicit
33,4.33,INTERQUAL,explicit
34,3.0,INTERQUAL,explicit
35,4.0,INTERQUAL,explicit
36,4.0,INTERQUAL,explicit
37,5.0,INTERQUAL,explicit
38,3.0,INTERQUAL,explicit
39,5.0,INTERQUAL,explicit
40,3.67,INTERQUAL,explicit
41,4.67,INTERQUAL,explicit
42,4.33,INTERQUAL,explicit
43,4.0,INTERQUAL,explicit
44,4.67,INTERQUAL,explicit
45,5.0,INTERQUAL,explicit
46,5.0,INTERQUAL,explicit
47,4.33,INTERQUAL,explicit
48,4.67,INTERQUAL,explicit
49,4.67,INTERQUAL,explicit
50,5.0,INTERQUAL,explicit
51,4.0,INTERQUAL,explicit
52,4.0,INTERQUAL,explicit
53,4.33,INTERQUAL,explicit
54,4.0,INTERQUAL,explicit
55,3.67,INTERQUAL,explicit
56,3.33,INTERQUAL,explicit
57,5.0,INTERQUAL,explicit
58,4.33,INTERQUAL,explicit
59,2.0,INTERQUAL,explicit
60,4.67,INTERQUAL,explicit
61,4.67,INTERQUAL,explicit
0,4.67,INTERQUAL,implicit
1,4.33,INTERQUAL,implicit
2,4.33,INTERQUAL,implicit
3,4.33,INTERQUAL,implicit
4,4.67,INTERQUAL,implicit
5,4.33,INTERQUAL,implicit
6,3.33,INTERQUAL,implicit
7,3.33,INTERQUAL,implicit
8,5.0,INTERQUAL,implicit
9,3.67,INTERQUAL,implicit
10,4.33,INTERQUAL,implicit
11,4.33,INTERQUAL,implicit
12,5.0,INTERQUAL,implicit
13,5.0,INTERQUAL,implicit
14,4.33,INTERQUAL,implicit
15,5.0,INTERQUAL,implicit
16,5.0,INTERQUAL,implicit
17,3.67,INTERQUAL,implicit
18,5.0,INTERQUAL,implicit
19,4.0,INTERQUAL,implicit
20,4.33,INTERQUAL,implicit
21,3.67,INTERQUAL,implicit
22,5.0,INTERQUAL,implicit
23,5.0,INTERQUAL,implicit
24,3.67,INTERQUAL,implicit
25,2.67,INTERQUAL,implicit
26,5.0,INTERQUAL,implicit
27,3.33,INTERQUAL,implicit
28,3.0,INTERQUAL,implicit
29,3.0,INTERQUAL,implicit
30,2.33,INTERQUAL,implicit
31,4.67,INTERQUAL,implicit
32,4.33,INTERQUAL,implicit
33,5.0,INTERQUAL,implicit
34,2.67,INTERQUAL,implicit
35,4.0,INTERQUAL,implicit
36,3.67,INTERQUAL,implicit
37,5.0,INTERQUAL,implicit
38,4.0,INTERQUAL,implicit
39,5.0,INTERQUAL,implicit
40,4.0,INTERQUAL,implicit
41,4.67,INTERQUAL,implicit
42,4.67,INTERQUAL,implicit
43,3.67,INTERQUAL,implicit
44,4.67,INTERQUAL,implicit
45,4.0,INTERQUAL,implicit
46,4.67,INTERQUAL,implicit
47,4.0,INTERQUAL,implicit
48,5.0,INTERQUAL,implicit
49,4.67,INTERQUAL,implicit
50,4.67,INTERQUAL,implicit
51,4.0,INTERQUAL,implicit
52,4.0,INTERQUAL,implicit
53,4.0,INTERQUAL,implicit
54,4.33,INTERQUAL,implicit
55,4.0,INTERQUAL,implicit
56,3.67,INTERQUAL,implicit
57,4.67,INTERQUAL,implicit
58,4.67,INTERQUAL,implicit
59,3.33,INTERQUAL,implicit
60,5.0,INTERQUAL,implicit
61,5.0,INTERQUAL,implicit
